Linux 4.18.0-553.144.1.el8_10.x86_64 (ac062) 	08/06/26 	_x86_64_	(96 CPU)

13:07:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:22:04      74   99.60    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      76   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      77   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      78   99.20    0.00    0.60    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      79   98.60    0.00    1.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      80   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      81   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      82   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      83   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      84   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      85   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      86   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      87   98.60    0.00    1.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      88   99.20    0.00    0.60    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      89   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      90   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      91   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      92   99.40    0.00    0.00    0.00    0.40    0.20    0.00    0.00    0.00    0.00
13:22:04      93   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      94   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      95   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00

13:22:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:22:09     all   59.12    0.00    1.07    0.00    0.20    0.00    0.00    0.00    0.00   39.59
13:22:09       0   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09       1   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09       2   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09       3   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09       4   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09       5   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09       6   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09       7   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09       8   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09       9   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      10   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      11   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      12   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      13   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      14   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      15   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      16    0.00    0.00    0.00    0.00    0.00    0.20    0.00    0.00    0.00   99.80
13:22:09      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      19   94.00    0.00    5.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      23   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      24   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      25   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      26   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      27   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      28   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      42    0.00    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   99.80
13:22:09      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
